date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:02:17	885/885	---M--	200	added ('OK')	image/gif	etag:%229180a57-375-51fce2a081ecf%22	http://corefindings.com/wp-content/plugins/essential-grid/public/assets/images/ajax-loader.gif	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/plugins/essential-grid/public/assets/images/ajax-loader.gif	(from http://corefindings.com/wp-content/cache/minify/000000/fY0xDsIwDEUvRDCduAIDAxIDIwqJKUaJXcVupd6-actQhMRmPT_918DZj1iuiSIWUPNGAYIqpBnrgncNBGHzwdxTSnZHIA6pj6iLqTYm1CqhKrKRT64tFKHrH6mO-UrtY6IZcTu7BYd1_J92gBO1L-R4u6yVLzKrBbUTVhp-XxQki3BtvfVe70601jaZDd5n4gk.css)
22:02:17	3221/3221	---M--	200	added ('OK')	image/gif	etag:%229180ba8-c95-51eef7ff4e108%22	http://corefindings.com/wp-content/plugins/LayerSlider/static/css/blank.gif	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/plugins/LayerSlider/static/css/blank.gif	(from http://corefindings.com/wp-content/cache/minify/000000/fY0xDsIwDEUvRDCduAIDAxIDIwqJKUaJXcVupd6-actQhMRmPT_918DZj1iuiSIWUPNGAYIqpBnrgncNBGHzwdxTSnZHIA6pj6iLqTYm1CqhKrKRT64tFKHrH6mO-UrtY6IZcTu7BYd1_J92gBO1L-R4u6yVLzKrBbUTVhp-XxQki3BtvfVe70601jaZDd5n4gk.css)
22:02:17	2545/2545	---M--	200	added ('OK')	image/gif	etag:%229180a5f-9f1-51fce2a0822b7%22	http://corefindings.com/wp-content/plugins/essential-grid/public/assets/images/loader.gif	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/plugins/essential-grid/public/assets/images/loader.gif	(from http://corefindings.com/wp-content/cache/minify/000000/fY0xDsIwDEUvRDCduAIDAxIDIwqJKUaJXcVupd6-actQhMRmPT_918DZj1iuiSIWUPNGAYIqpBnrgncNBGHzwdxTSnZHIA6pj6iLqTYm1CqhKrKRT64tFKHrH6mO-UrtY6IZcTu7BYd1_J92gBO1L-R4u6yVLzKrBbUTVhp-XxQki3BtvfVe70601jaZDd5n4gk.css)
22:02:19	27580/27580	---MC-	200	added ('OK')	text/javascript	date:Wed,%2001%20Jun%202016%2014:34:39%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/MSF/Documents/corefindings/www.google-analytics.com/analytics.js	(from http://corefindings.com/)
22:02:23	34372/34372	---M--	200	added ('OK')	application/x-font-woff	etag:%229180a51-8644-51fce2a0816ff%22	http://corefindings.com/wp-content/plugins/essential-grid/public/assets/font/egfont.woff?85610117	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/plugins/essential-grid/public/assets/font/egfontdde9.woff	(from http://corefindings.com/wp-content/cache/minify/000000/fY0xDsIwDEUvRDCduAIDAxIDIwqJKUaJXcVupd6-actQhMRmPT_918DZj1iuiSIWUPNGAYIqpBnrgncNBGHzwdxTSnZHIA6pj6iLqTYm1CqhKrKRT64tFKHrH6mO-UrtY6IZcTu7BYd1_J92gBO1L-R4u6yVLzKrBbUTVhp-XxQki3BtvfVe70601jaZDd5n4gk.css)
22:02:24	82018/82018	---M--	200	added ('OK')	image/svg+xml	etag:%229180a52-14062-51fce2a081ae7%22	http://corefindings.com/wp-content/plugins/essential-grid/public/assets/font/egfont.svg?85610117	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/plugins/essential-grid/public/assets/font/egfontdde9.svg	(from http://corefindings.com/wp-content/cache/minify/000000/fY0xDsIwDEUvRDCduAIDAxIDIwqJKUaJXcVupd6-actQhMRmPT_918DZj1iuiSIWUPNGAYIqpBnrgncNBGHzwdxTSnZHIA6pj6iLqTYm1CqhKrKRT64tFKHrH6mO-UrtY6IZcTu7BYd1_J92gBO1L-R4u6yVLzKrBbUTVhp-XxQki3BtvfVe70601jaZDd5n4gk.css)
22:02:27	12136/12136	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22918120d-2f68-52135789cc68d%22	http://corefindings.com/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.eot?5510888	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.eot	(from http://corefindings.com/wp-content/cache/minify/000000/fY0xDsIwDEUvRDCduAIDAxIDIwqJKUaJXcVupd6-actQhMRmPT_918DZj1iuiSIWUPNGAYIqpBnrgncNBGHzwdxTSnZHIA6pj6iLqTYm1CqhKrKRT64tFKHrH6mO-UrtY6IZcTu7BYd1_J92gBO1L-R4u6yVLzKrBbUTVhp-XxQki3BtvfVe70601jaZDd5n4gk.css)
22:02:28	58348/58348	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%229180a53-e3ec-51fce2a081ae7%22	http://corefindings.com/wp-content/plugins/essential-grid/public/assets/font/egfont.eot?85610117	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/plugins/essential-grid/public/assets/font/egfontdde9.eot	(from http://corefindings.com/wp-content/cache/minify/000000/fY0xDsIwDEUvRDCduAIDAxIDIwqJKUaJXcVupd6-actQhMRmPT_918DZj1iuiSIWUPNGAYIqpBnrgncNBGHzwdxTSnZHIA6pj6iLqTYm1CqhKrKRT64tFKHrH6mO-UrtY6IZcTu7BYd1_J92gBO1L-R4u6yVLzKrBbUTVhp-XxQki3BtvfVe70601jaZDd5n4gk.css)
22:02:28	7536/7536	---M--	200	added ('OK')	application/x-font-woff	etag:%22918120e-1d70-52135789cc68d%22	http://corefindings.com/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.woff?5510888	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.woff	(from http://corefindings.com/wp-content/cache/minify/000000/fY0xDsIwDEUvRDCduAIDAxIDIwqJKUaJXcVupd6-actQhMRmPT_918DZj1iuiSIWUPNGAYIqpBnrgncNBGHzwdxTSnZHIA6pj6iLqTYm1CqhKrKRT64tFKHrH6mO-UrtY6IZcTu7BYd1_J92gBO1L-R4u6yVLzKrBbUTVhp-XxQki3BtvfVe70601jaZDd5n4gk.css)
22:02:28	13691/13691	---M--	200	added ('OK')	image/svg+xml	etag:%22918120c-357b-52135789cc68d%22	http://corefindings.com/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.svg?5510888	C:/Users/MSF/Documents/corefindings/corefindings.com/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.svg	(from http://corefindings.com/wp-content/cache/minify/000000/fY0xDsIwDEUvRDCduAIDAxIDIwqJKUaJXcVupd6-actQhMRmPT_918DZj1iuiSIWUPNGAYIqpBnrgncNBGHzwdxTSnZHIA6pj6iLqTYm1CqhKrKRT64tFKHrH6mO-UrtY6IZcTu7BYd1_J92gBO1L-R4u6yVLzKrBbUTVhp-XxQki3BtvfVe70601jaZDd5n4gk.css)
